,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,0
267,1
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,0
423,0
424,0
425,0
